,weight,mean_johannine_epistle,mean_johannine_gospel
avg_sent_len,0.011283850189426146,17.603679814215887,16.63263635974263
fw_every,0.011269159067006883,1.5791639236339696,0.8418546657325242
fw_been,-0.010704694194698498,0.16458196181698484,0.4574109640483669
fw_at,-0.010694117253802668,0.5791639236339696,2.7536631589743927
fw_on,-0.010663075600254562,1.7620395889356288,3.5531756205623584
fw_this,0.01041912112733599,7.911137299887049,6.666454268166522
fw_until,0.010338906021314702,0.16458196181698484,0.10134797141653386
avg_word_len,0.010292611654646986,4.011927718636328,3.9512013466969864
fw_after,0.009683818619358742,1.6835780284564366,1.3585381512994448
fw_your,-0.009609033833283324,1.1652843249717622,1.8781735714962695
fw_whose,-0.009517210207490821,0.0,0.5668946046666694
fw_she,-0.009342864572511177,0.0,1.1721315050968826
fw_over,-0.008743048208402868,0.0,0.25370610709220326
fw_their,-0.008370870034647648,0.847457627118644,0.9658989875326114
fw_but,0.008102756512758269,11.879663091833134,10.37764390591907
fw_he,-0.008101778950125496,20.65230626153338,23.95585587200046
fw_other,-0.006845936053507966,0.0,1.2143887143384262
fw_whom,0.006622117783484614,3.0310356555750806,2.243366323091097
fw_out,-0.006479534792838367,1.6766215507526137,2.338334221875831
fw_no,-0.00643684428614442,2.828695283471508,3.2321736394852683
fw_under,-0.006326440690983045,0.0,0.10141473556107702
fw_upon,-0.005625809185732797,0.3291639236339697,0.5586887540508922
fw_by,0.005009970365686162,2.012039588935629,1.9105405173580865
fw_to,-0.004670929189995482,13.294510058503892,11.636623780587994
fw_with,0.003945856627773662,5.68451411460353,4.587479899750225
fw_be,-0.0037995789436982494,6.53822585627122,5.203617184533528
fw_and,-0.003357495466739386,44.87762076785709,48.32701861512142
fw_might,-0.003151458462779486,1.4266215507526137,1.9377214309233426
fw_none,-0.0023431611538856055,0.16458196181698484,0.43511944999594093
fw_you,-0.0019365942986050615,8.288194574409761,8.19990341608276
fw_both,0.001788834115840009,0.8361204013377926,0.5077828984347803
fw_among,0.0016802655329326305,0.847457627118644,1.19825094457194
fw_before,-0.0014615653779588532,1.1766215507526137,1.1676868204586874
fw_may,0.0004769434140583554,2.3298662867887474,1.8782719390032254
