,weight,mean_johannine_apoc,mean_johannine_gospel
fw_his,-0.0017585821375359738,10.119521314490205,9.238109290236952
fw_to,0.0016305321623640585,12.345336852221688,11.636623780587994
fw_nor,0.0013601549602037096,1.1627625063658997,0.5077810446283247
fw_no,0.0009931860624211569,3.375615561425504,3.2321736394852687
fw_my,-0.0008896814428944796,2.3272944507576176,7.0975032902192465
fw_such,0.0008794423667618579,0.24666394730046132,0.20367059751479555
fw_under,0.000422190351496295,0.41227502196757515,0.10141473556107702
fw_another,0.0003536086247317516,1.4810883122395115,0.8925587138578419
fw_i,0.00030260072836800055,13.93624015404832,21.86040189329398
fw_has,0.0,0.0,0.0
