book,label,chunk_id,group,fw_conj_vav,fw_prep_be,fw_prep_ke,fw_prep_le,fw_prep_min,fw_article_ha,fw_interrog_he,fw_et_dom,fw_asher_rel,fw_ki_causal,fw_lo_neg,fw_kol_all,fw_al_upon,fw_el_to,fw_im_with,fw_hu_pron3ms,fw_zeh_this,fw_peh_mouth_idiom,fw_yom_day,avg_word_len,std_word_len,ttr,n_words
Lev,Lev_P,4,P,134.7424042272127,58.124174372523115,1.9815059445178336,33.02509907529723,11.889035667107,159.8414795244386,0.0,57.46367239101717,17.17305151915456,6.605019815059445,3.963011889035667,11.889035667107,26.42007926023778,17.8335535006605,0.0,15.191545574636724,0.0,0.0,9.247027741083224,2.1341463414634148,1.2173761781273613,0.2714663143989432,1514
Lev,Lev_P,5,P,138.72452333990796,50.62458908612755,3.287310979618672,50.62458908612755,19.723865877712033,95.98948060486522,0.0,46.022353714661406,28.928336620644313,7.889546351084813,8.547008547008549,25.64102564102564,30.243261012491782,18.408941485864563,0.6574621959237344,7.232084155161078,1.314924391847469,0.0,7.232084155161078,2.1287572902646925,1.2086213884824266,0.3063773833004602,1521
Lev,Lev_P,6,P,114.43779108449768,44.57751164337991,2.6613439787092483,50.565535595475716,15.302727877578176,47.238855622089154,0.0,53.89221556886228,22.62142381902861,14.637391882900864,57.21889554224884,13.30671989354624,5.322687957418497,17.298735861610112,0.0,15.302727877578176,0.0,0.0,1.996007984031936,2.327490774907749,1.2945887858519565,0.3685961410512309,1503
Lev,Lev_P,7,P,92.59259259259258,51.58730158730158,0.6613756613756614,76.71957671957672,19.841269841269842,50.26455026455026,0.0,31.084656084656082,16.534391534391535,17.857142857142858,35.05291005291005,23.809523809523807,7.2751322751322745,23.148148148148145,0.0,10.582010582010582,5.291005291005291,0.0,23.809523809523807,2.4372605363984676,1.3819757100453205,0.33465608465608465,1512
Lev,Lev_P,8,P,140.29255319148936,45.21276595744681,10.638297872340425,79.12234042553192,21.27659574468085,51.1968085106383,0.0,45.87765957446808,11.96808510638298,15.957446808510637,24.601063829787236,6.648936170212766,9.308510638297872,11.96808510638298,13.962765957446807,6.648936170212766,0.0,3.324468085106383,3.9893617021276593,2.2970208981769678,1.3609542790209737,0.4242021276595745,1504
Lev,Lev_P,9,P,142.6978818283166,54.626532887402455,5.574136008918618,50.16722408026756,22.296544035674472,65.77480490523968,0.0,46.82274247491638,21.181716833890746,3.3444816053511706,23.41137123745819,13.377926421404682,12.263099219620958,4.459308807134894,4.459308807134894,8.918617614269788,0.0,3.3444816053511706,3.3444816053511706,2.249251497005988,1.305790664732502,0.4158305462653289,897
Num,Num_P,0,P,145.51495016611295,27.242524916943523,3.986710963455149,95.01661129568106,15.282392026578073,43.18936877076412,0.0,22.591362126245848,7.973421926910298,0.6644518272425249,3.986710963455149,26.578073089700997,11.960132890365449,4.651162790697675,0.0,0.6644518272425249,0.0,0.6644518272425249,1.3289036544850499,2.466390423572744,1.495319046889099,0.24584717607973422,1505
Num,Num_P,1,P,155.22984676882078,35.976015989340446,2.664890073284477,59.293804130579616,17.321785476349103,88.60759493670886,0.0,52.63157894736842,15.989340439706863,1.998667554963358,6.662225183211192,31.312458361092602,25.31645569620253,15.989340439706863,0.0,4.663557628247834,0.0,4.663557628247834,0.0,2.323435358611238,1.3597032578246913,0.3104596935376416,1501
Num,Num_P,2,P,89.15502328675981,33.2667997338656,2.6613439787092483,63.206919494344646,6.65335994677312,77.84431137724552,0.0,39.25482368596141,5.9880239520958085,4.657351962741184,5.9880239520958085,5.9880239520958085,11.976047904191617,11.310711909514305,0.0,3.32667997338656,5.322687957418497,2.6613439787092483,17.298735861610112,2.4552129221732746,1.3757304796392162,0.29008649367930806,1503
Num,Num_P,3,P,102.59826782145237,49.30046635576282,7.328447701532311,67.28847435043305,12.658227848101266,76.61558960692871,0.0,33.311125916055964,8.660892738174551,3.997335109926716,7.328447701532311,12.658227848101266,22.651565622918056,13.990672884743505,0.0,3.997335109926716,3.997335109926716,5.996002664890073,12.658227848101266,2.4620956059874457,1.3982078798458994,0.31845436375749503,1501
Num,Num_P,4,P,107.33333333333334,33.333333333333336,9.333333333333334,95.33333333333334,12.666666666666666,58.0,0.0,34.0,16.0,10.0,11.333333333333334,25.333333333333332,16.666666666666668,22.0,1.3333333333333333,6.666666666666667,1.3333333333333333,0.0,2.6666666666666665,2.3323956868260667,1.3600232096624638,0.36733333333333335,1500
Num,Num_P,5,P,124.5836109260493,41.3057961359094,3.331112591605596,97.26848767488342,9.993337774816789,97.93471019320452,0.0,31.312458361092602,16.655562958027982,7.328447701532311,10.659560293137908,9.993337774816789,13.990672884743505,14.656895403064622,0.0,5.329780146568954,0.6662225183211192,2.664890073284477,6.662225183211192,2.4774609015639375,1.4716573438500358,0.3924050632911392,1501
Num,Num_P,6,P,128.3244680851064,49.20212765957447,9.97340425531915,100.39893617021276,19.9468085106383,57.84574468085106,0.0,17.95212765957447,13.962765957446807,2.6595744680851063,7.978723404255319,17.28723404255319,18.617021276595743,3.324468085106383,0.0,0.6648936170212766,2.6595744680851063,2.6595744680851063,19.28191489361702,2.3932432432432433,1.410338060656816,0.269281914893617,1504
Num,Num_P,7,P,131.07416879795397,63.2992327365729,1.9181585677749362,82.48081841432226,42.83887468030691,74.8081841432225,0.0,31.329923273657286,20.460358056265985,7.672634271099745,9.59079283887468,7.672634271099745,11.508951406649617,12.148337595907927,0.0,7.033248081841432,3.19693094629156,2.557544757033248,0.0,2.35599128540305,1.3953166482715182,0.3567774936061381,1564
Gen,Gen_non_P,0,non_P,171.636845593108,28.495692511597085,5.964214711729622,60.30483764082174,24.519549370444004,60.96752816434725,2.6507620941020544,38.43605036447978,14.5791915175613,19.21802518223989,10.603048376408218,13.916500994035786,3.976143141153081,21.86878727634195,1.9880715705765406,10.603048376408218,0.6626905235255136,0.6626905235255136,3.976143141153081,2.246285457001351,1.272838520631702,0.43141153081510936,1509
Gen,Gen_non_P,1,non_P,166.33399866932803,39.920159680638726,9.980039920159681,49.9001996007984,15.302727877578176,74.51763140385894,6.65335994677312,30.605455755156353,11.976047904191617,13.30671989354624,13.30671989354624,9.980039920159681,17.964071856287426,25.282767797737858,2.6613439787092483,5.322687957418497,3.992015968063872,0.0,1.996007984031936,2.301937809824245,1.321930264724256,0.469061876247505,1503
Gen,Gen_non_P,2,non_P,159.49702183984115,35.7379219060225,5.294506949040371,54.268696227663796,11.912640635340834,71.475843812045,1.985440105890139,53.60688285903375,23.16346790205162,14.55989410986102,9.927200529450696,8.603573792190604,10.589013898080742,24.487094639311717,5.956320317670417,15.883520847121112,3.309066843150232,0.0,5.956320317670417,2.2821330902461257,1.3374146846826387,0.37789543348775645,1511
Gen,Gen_non_P,3,non_P,187.5,15.131578947368421,9.868421052631579,72.36842105263158,16.44736842105263,55.26315789473684,3.947368421052632,25.0,17.763157894736842,3.947368421052632,11.18421052631579,3.289473684210526,14.473684210526315,26.31578947368421,3.947368421052632,4.605263157894736,3.947368421052632,0.6578947368421052,2.631578947368421,2.1855979425632235,1.2797067700971747,0.42236842105263156,1520
Gen,Gen_non_P,4,non_P,172.09302325581396,24.58471760797342,4.651162790697675,64.45182724252491,17.27574750830565,43.18936877076412,2.6578073089700998,44.518272425249165,14.617940199335548,15.946843853820596,5.980066445182724,5.3156146179401995,12.624584717607974,19.933554817275745,7.308970099667774,5.980066445182724,3.986710963455149,3.3222591362126246,5.3156146179401995,2.2085029398462233,1.2637091108116936,0.3707641196013289,1505
Gen,Gen_non_P,5,non_P,167.99468791500664,39.8406374501992,3.9840637450199203,73.04116865869854,11.952191235059761,68.39309428950862,1.3280212483399734,37.84860557768924,18.59229747675963,14.608233731739707,12.616201859229747,17.928286852589643,8.632138114209827,17.264276228419654,9.296148738379815,6.6401062416998675,7.304116865869854,0.0,6.6401062416998675,2.235112483458315,1.3118988292912916,0.4355909694555113,1506
