book,label,chunk_id,group,fw_ὁ,fw_καί,fw_αὐτός,fw_σύ,fw_δέ,fw_ἐν,fw_ἐγώ,fw_εἰμί,fw_εἰς,fw_οὐ,fw_ὅς,fw_οὗτος,fw_ὅτι,fw_πᾶς,fw_μή,fw_γάρ,fw_ἐκ,fw_ἐπί,fw_πρός,fw_ἵνα,fw_διά,fw_ἀπό,fw_ἀλλά,fw_τε,fw_ὡς,fw_κατά,fw_μετά,fw_ὑπό,fw_τίς,fw_οὖν,fw_εἰ,avg_sent_len,std_sent_len,avg_word_len,ttr,n_words
2Cor,2Cor,0,undisputed,147.60638297872342,40.558510638297875,12.632978723404255,25.26595744680851,17.95212765957447,31.914893617021274,43.21808510638298,15.292553191489361,16.622340425531913,20.611702127659573,11.303191489361703,9.97340425531915,12.632978723404255,9.308510638297872,11.96808510638298,17.28723404255319,10.638297872340425,5.98404255319149,9.308510638297872,9.97340425531915,14.627659574468085,5.98404255319149,18.617021276595743,0.0,3.9893617021276593,2.6595744680851063,0.0,4.654255319148936,1.3297872340425532,1.9946808510638296,7.3138297872340425,19.51948051948052,10.545646470008357,4.837658017298736,0.38563829787234044,1504
2Cor,2Cor,1,undisputed,119.76047904191617,51.23087159015303,17.964071856287426,41.250831669993346,16.6333998669328,39.25482368596141,32.60146373918829,10.645375914836993,18.629407850964736,12.641383898868929,3.32667997338656,11.310711909514305,11.310711909514305,16.6333998669328,9.314703925482368,12.641383898868929,5.322687957418497,5.9880239520958085,7.318695941450432,10.645375914836993,9.980039920159681,3.32667997338656,15.968063872255488,0.0,9.980039920159681,5.322687957418497,3.32667997338656,1.996007984031936,3.32667997338656,3.32667997338656,5.322687957418497,16.8876404494382,12.370169085205186,5.111776447105789,0.42980705256154356,1503
2Cor,2Cor,2,undisputed,101.36054421768708,40.136054421768705,10.884353741496598,38.0952380952381,14.965986394557822,36.734693877551024,31.972789115646258,15.646258503401363,17.006802721088437,31.972789115646258,13.605442176870747,7.482993197278911,10.204081632653061,8.843537414965986,11.564625850340136,20.408163265306122,4.081632653061225,4.081632653061225,5.442176870748299,8.843537414965986,5.442176870748299,2.0408163265306123,10.884353741496598,0.0,6.802721088435374,9.523809523809526,1.3605442176870748,1.3605442176870748,2.7210884353741496,1.3605442176870748,12.244897959183673,12.423728813559322,9.45319135392464,4.9918144611186905,0.46870748299319726,1470
Gal,Gal,0,undisputed,123.54521038495972,32.22918531781558,11.638316920322291,23.276633840644582,25.962399283795882,18.352730528200535,26.410026857654433,23.724261414503133,13.42882721575649,17.009847806624887,10.295434198746642,5.371530886302597,12.981199641897941,6.714413607878245,10.743061772605193,16.11459265890779,15.66696508504924,3.5810205908683974,4.028648164726947,7.609668755595345,8.504923903312443,3.5810205908683974,10.295434198746642,0.0,4.028648164726947,7.609668755595345,3.133393017009848,6.266786034019696,2.2381378692927485,2.6857654431512983,8.952551477170994,13.347305389221557,9.827206609462364,4.975325257963212,0.40286481647269473,2234
Phil,Phil,0,undisputed,117.57501530924678,65.523576240049,18.98346601347214,31.843233312921008,16.53398652786283,39.80404164115126,35.51745254133497,10.41028781383956,14.084507042253522,7.348438456827924,9.185548071034905,9.185548071034905,12.859767299448867,20.20820575627679,3.674219228413962,7.960808328230252,6.12369871402327,4.28658909981629,2.449479485609308,7.348438456827924,8.57317819963258,2.449479485609308,9.185548071034905,0.0,4.28658909981629,6.736068585425597,4.28658909981629,1.224739742804654,1.224739742804654,3.674219228413962,7.960808328230252,18.522727272727273,14.843867170046472,4.909815950920246,0.4280465401102266,1633
1Thess,1Thess,0,undisputed,129.6673455532926,67.88866259334692,16.293279022403258,57.02647657841141,10.183299389002038,35.980991174473864,33.94433129667346,8.146639511201629,17.651052274270196,12.219959266802444,2.715546503733876,6.788866259334691,8.825526137135098,12.219959266802444,10.183299389002038,15.614392396469789,4.0733197556008145,4.0733197556008145,8.825526137135098,4.752206381534283,6.788866259334691,6.109979633401222,8.825526137135098,0.0,6.109979633401222,0.0,2.0366598778004072,2.715546503733876,2.0366598778004072,1.357773251866938,0.678886625933469,21.042857142857144,16.16118428677244,5.01765105227427,0.3910386965376782,1473
Phlm,Phlm,0,undisputed,106.82492581602374,53.41246290801187,8.902077151335313,71.2166172106825,17.804154302670625,29.673590504451038,62.31454005934718,8.902077151335313,5.934718100890208,0.0,14.836795252225519,8.902077151335313,11.869436201780417,5.934718100890208,5.934718100890208,8.902077151335313,0.0,5.934718100890208,8.902077151335313,11.869436201780417,11.869436201780417,2.967359050445104,5.934718100890208,0.0,11.869436201780417,8.902077151335313,2.967359050445104,0.0,0.0,2.967359050445104,5.934718100890208,18.61111111111111,14.89645330230167,4.665671641791045,0.5934718100890207,337
Eph,Eph,0,disputed_deutero,194.66666666666666,48.0,32.0,18.666666666666668,8.0,57.333333333333336,21.333333333333332,19.333333333333336,19.333333333333336,4.0,16.666666666666668,5.333333333333333,4.0,22.0,4.0,2.0,3.3333333333333335,6.0,3.3333333333333335,8.0,11.333333333333334,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,13.333333333333334,2.0,1.3333333333333333,4.0,2.0,2.0,36.58536585365854,35.70200213676354,4.994666666666666,0.3973333333333333,1500
Eph,Eph,1,disputed_deutero,151.84381778741866,70.49891540130152,19.522776572668114,22.7765726681128,8.676789587852495,37.960954446854664,11.93058568329718,20.607375271149678,8.676789587852495,5.422993492407809,8.676789587852495,10.845986984815617,7.592190889370932,19.522776572668114,10.845986984815617,8.676789587852495,3.2537960954446854,2.1691973969631237,11.93058568329718,11.93058568329718,4.3383947939262475,2.1691973969631237,11.93058568329718,0.0,15.184381778741864,4.3383947939262475,4.3383947939262475,2.1691973969631237,3.2537960954446854,4.3383947939262475,1.0845986984815619,21.88095238095238,15.009841820416462,4.8933623503808485,0.48590021691973967,922
Col,Col,0,disputed_deutero,163.92405063291142,63.92405063291139,28.481012658227847,35.44303797468355,3.1645569620253164,55.063291139240505,15.822784810126583,16.455696202531648,12.025316455696203,5.063291139240507,24.050632911392405,5.063291139240507,3.7974683544303796,24.68354430379747,6.329113924050633,3.7974683544303796,6.962025316455696,3.1645569620253164,3.7974683544303796,8.227848101265824,8.860759493670887,5.69620253164557,1.8987341772151898,0.0,4.4303797468354436,8.860759493670887,1.2658227848101267,1.2658227848101267,1.2658227848101267,3.1645569620253164,2.5316455696202533,23.863636363636363,18.981559123972392,4.988571428571428,0.4208860759493671,1580
2Thess,2Thess,0,disputed_deutero,136.2530413625304,60.82725060827251,21.897810218978105,48.661800486618006,13.38199513381995,31.630170316301705,29.197080291970803,8.51581508515815,17.0316301703163,9.732360097323602,14.598540145985401,4.866180048661801,13.38199513381995,19.464720194647203,13.38199513381995,6.082725060827251,1.2165450121654502,4.866180048661801,4.866180048661801,8.51581508515815,12.165450121654501,10.948905109489052,6.082725060827251,0.0,4.866180048661801,4.866180048661801,6.082725060827251,1.2165450121654502,0.0,1.2165450121654502,2.4330900243309004,23.485714285714284,26.947961946336953,4.912408759124087,0.47566909975669097,822
1Tim,1Tim,0,pastoral,99.43360604153555,57.8980490874764,3.775959723096287,8.81057268722467,18.879798615481437,27.061044682190058,9.439899307740719,18.250471994965388,11.95720578980491,5.663939584644431,13.845185651353052,11.327879169288861,7.551919446192574,14.4745122718691,15.103838892385149,8.18124606670862,1.2586532410320956,5.0346129641283826,3.1466331025802394,9.439899307740719,3.775959723096287,1.8879798615481436,7.551919446192574,0.0,2.5173064820641913,3.775959723096287,5.663939584644431,0.6293266205160478,0.6293266205160478,2.5173064820641913,8.18124606670862,16.04040404040404,11.628873150303184,5.5724181360201515,0.5324103209565765,1589
2Tim,2Tim,0,pastoral,120.35541195476574,54.92730210016155,12.924071082390954,16.962843295638127,19.38610662358643,29.88691437802908,33.92568659127625,12.924071082390954,14.539579967689823,9.693053311793214,16.15508885298869,8.885298869143782,5.654281098546042,14.539579967689823,4.038772213247173,11.308562197092083,5.654281098546042,4.846526655896607,5.654281098546042,4.038772213247173,9.693053311793214,5.654281098546042,9.693053311793214,0.0,4.038772213247173,5.654281098546042,4.846526655896607,0.8077544426494346,0.8077544426494346,2.4232633279483036,3.2310177705977385,15.271604938271604,12.4047107197813,5.269199676637025,0.5379644588045234,1238
